,city,positive_count,green_zone,place,population,country,region,negative_count,main_city_count,average_distance,bad_dist_count,max_negative,max_main,max_positive
0,Москва,4946,56763982.9153802,None,None,None,None,9471,983,,,cafe,kindergarten,playground
1,Санкт-Петербург,1445,56763982.9153802,None,None,None,None,6556,810,,,cafe,kindergarten,playground
2,Самара,133,56763982.9153802,village,508,None,None,483,129,,,fast_food,school,playground
3,Красноярск,95,56763982.9153802,city,1092851,RU,Красноярский край,269,44,,,cafe,university,playground
4,Воронеж,291,56763982.9153802,None,None,None,None,845,193,,,fast_food,school,playground
5,Омск,124,56763982.9153802,city,1125695,RU,Омская область,539,70,,,cafe,kindergarten,playground
6,Екатеринбург,436,56763982.9153802,city,1495066,RU,Свердловская область,1018,211,,,cafe,kindergarten,playground
7,Пенза,125,56763982.9153802,city,None,None,None,272,42,,,cafe,kindergarten,playground
8,Краснодар,117,56763982.9153802,city,948827,RU,Краснодарский край,875,56,,,fast_food,kindergarten,playground
9,Уфа,77,56763982.9153802,None,None,None,None,479,87,,,cafe,school,playground
10,Волгоград,152,56763982.9153802,city,1004763,RU,Волгоградская область,546,102,,,cafe,kindergarten,playground
11,Ярославль,150,56763982.9153802,island,None,None,None,326,44,,,cafe,school,playground
12,Новосибирск,442,56763982.9153802,city,1620162,RU,Новосибирская область,846,125,,,cafe,school,playground
13,Кемерово,59,56763982.9153802,city,552546,RU,Кемеровская область,169,19,,,cafe,kindergarten,playground
14,Челябинск,112,56763982.9153802,city,1200719,RU,Челябинская область,440,64,,,cafe,driving_school,playground
15,Барнаул,269,56763982.9153802,city,631124,RU,Алтайский край,274,40,,,fast_food,kindergarten,playground
16,Тюмень,169,56763982.9153802,hamlet,2,RU,Пермский край,402,74,,,cafe,university,playground
17,Томск,99,56763982.9153802,city,551505,RU,Томская область,390,75,,,cafe,kindergarten,playground
18,Владивосток,56,56763982.9153802,city,600871,RU,Приморский край,485,51,,,cafe,kindergarten,firepit
19,Хабаровск,53,56763982.9153802,city,616372,RU,Хабаровский край,158,18,,,cafe,school,playground
20,Иркутск,66,56763982.9153802,city,617515,RU,Иркутская область,316,69,,,cafe,kindergarten,playground
21,Благовещенск,42,56763982.9153802,city,225787,None,None,77,31,,,cafe,kindergarten,playground
22,Ижевск,75,56763982.9153802,city,646468,RU,Удмуртия,263,20,,,cafe,school,playground
23,Смоленск,45,56763982.9153802,city,None,RU,Смоленская область,125,28,,,cafe,school,playground
24,Нижний Новгород,277,56763982.9153802,None,None,None,None,742,75,,,cafe,driving_school,playground
25,Оренбург,46,56763982.9153802,None,None,None,None,195,55,,,cafe,university,fitness_centre
26,Липецк,41,56763982.9153802,city,503216,RU,Липецкая область,192,29,,,cafe,school,playground
27,Саратов,125,56763982.9153802,city,None,RU,Саратовская область,312,50,,,cafe,kindergarten,playground
28,Тверь,115,56763982.9153802,city,425000,RU,Тверская область,244,76,,,cafe,kindergarten,playground
29,Киров,90,56763982.9153802,town,None,RU,Калужская область,175,28,,,cafe,school,playground
30,Казань,633,56763982.9153802,None,None,None,None,1304,172,,,cafe,driving_school,playground
31,Владикавказ,7,56763982.9153802,None,None,None,None,98,10,,,cafe,school,playground
32,Кызыл,5,56763982.9153802,city,120067,None,None,14,1,,,cafe,school,playground
33,Южно-Сахалинск,22,56763982.9153802,city,None,None,None,89,9,,,cafe,school,playground
34,Грозный,4,56763982.9153802,city,324602,None,None,110,20,,,cafe,kindergarten,fitness_centre
35,Чебоксары,81,56763982.9153802,hamlet,None,None,None,342,60,,,cafe,driving_school,playground
36,Калининград,109,56763982.9153802,city,493256,None,Калининградская область,318,53,,,cafe,university,playground
37,Мурик,0,56763982.9153802,,,,,0,0,,,,,
38,Астрахань,65,56763982.9153802,None,None,None,None,124,27,,,cafe,school,playground
39,Ханты-Мансийск,6,56763982.9153802,city,None,None,None,68,6,,,cafe,driving_school,fitness_centre
40,Петропавловск-Камчатский,12,56763982.9153802,city,None,RU,Камчатский край,84,21,,,cafe,kindergarten,firepit
41,Пермь,127,56763982.9153802,city,1034002,RU,Пермский край,507,81,,,cafe,college,playground
42,Ростов-на-Дону,126,56763982.9153802,city,1114806,RU,Ростовская область,386,67,,,cafe,driving_school,playground
43,Махачкала,42,56763982.9153802,city,604266,RU,Дагестан,390,111,,,cafe,kindergarten,fitness_centre
44,Сыктывкар,63,56763982.9153802,city,243536,None,None,96,17,,,cafe,university,playground
45,Ульяновск,456,56763982.9153802,city,627705,RU,Ульяновская область,377,21,,,cafe,driving_school,playground
46,Петрозаводск,108,56763982.9153802,None,None,None,None,154,29,,,cafe,school,playground
47,Армавир,7,56763982.9153802,None,None,None,None,23,10,,,cafe,school,playground
48,Тула,147,56763982.9153802,city,475161,RU,Тульская область,232,59,,,cafe,school,playground
49,Владимир,94,56763982.9153802,village,899,None,None,325,90,,,cafe,driving_school,playground
